document_id,source_group,relative_path,extension,actual_format,size_bytes,sha256,duplicate_of,extract_status,language,segment_count,char_count,error
doc_d148850be928acbf,cn,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/【重点】安全生产管理各类制度及责任书/2018年度安全生产计划.doc,doc,doc,18944,4d139b7fd8926b62a5e66ab6246567508c1ede0dedd30cb25741afa3ec75256a,,success,zh,2,2195,
doc_6fbc45c0ddf9adea,cn,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/【重点】安全生产管理各类制度及责任书/【通用版】企业安全生产管理制度模板3.doc,doc,doc,116736,e22d4942ae0b7efd753359a37c8455a7292315fc701a4afa923e49b6f4accb7f,,success,zh,47,21538,
doc_ca4f2d84931d3197,cn,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/【重点】安全生产管理各类制度及责任书/【通用版】安全生产制度模板5.doc,doc,doc,204394,9ee0e70c7f33cdbd5d7a43d8e2e47844efb6243d7996369f0d25b808d9eae69c,,success,zh,702,34834,
doc_18c05a68b7aff618,cn,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/【重点】安全生产管理各类制度及责任书/【通用版】安全生产目标管理制度模板6.doc,doc,doc,156659,0d7a27c37a0813f515a26a9ab1def1214d29015473c281de28e0440d11244155,,success,zh,571,20704,
doc_9713caa30effdf26,cn,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/【重点】安全生产管理各类制度及责任书/【通用版】安全生产管理制度模板.doc,doc,doc,906004,8696eb7d99cd06e202748511f8c6cfeec1c2dfd84ebf346a0152524a16b24c52,,success,zh,2484,87624,
doc_4879a40bbf6e42d1,cn,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/【重点】安全生产管理各类制度及责任书/【通用版】安全生产管理制度模板2.doc,doc,doc,232495,51d7cf3803d965025ba3e8dd24526ea48ce683d10a3b50a8e667faf4496ebc14,,success,zh,653,28330,
doc_1078f90672c20930,cn,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/【重点】安全生产管理各类制度及责任书/【通用版简版】安全生产责任制及管理制度模板1.docx,docx,docx,53500,43b62bf690055c9af361faada0b59ebe3df9daff4300b7bf8ee9f7a8741b9258,,success,zh,361,11976,
doc_bac9ce6fca2312f6,cn,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/【重点】安全生产管理各类制度及责任书/【通用版责任书】2019年安全生产责任书.doc,doc,doc,115200,a90e03cc5fce35f9a4f563bc1cb651edb409c7beb9042f1f646185f6e54c0f2a,,success,zh,32,15040,
doc_051ee98434e98d29,cn,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/【重点】安全生产管理各类制度及责任书/【通用版责任书】企业各级管理人员安全生产责任制5.doc,doc,doc,108032,61066a48664f1e7295e7d2f29e1605e5a080d60423962f4292e88926341b9c9d,,success,zh,81,16890,
doc_8661e76a77e88834,cn,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/【重点】安全生产管理各类制度及责任书/【通用版责任书】企业安全生产管理职责2.doc,doc,doc,65520,4993e0d9285810087399b834a14b91db37147db8fa4c6fb27b314fdcb548ef54,,success,zh,202,8739,
doc_6d4a59b9af17f368,cn,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/【重点】安全生产管理各类制度及责任书/【通用版责任书】企业安全生产责任制管理制度3.doc,doc,doc,59905,3ab35ca2d336a9f8bb214beff77d2e7f3795fcc7ca32025bb0cb33382f1f998c,,success,zh,201,8888,
doc_10c6d9d513ef5e4d,cn,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/【重点】安全生产管理各类制度及责任书/【通用版责任书】企业安全生产责任制管理制度4.doc,doc,doc,80896,1a0a147c02c6147c3e1cf263ea563ba6f2a92349c6db20b1187ec2e5c5151280,,success,zh,56,8441,
doc_64151970a7774f8f,cn,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/【重点】安全生产管理各类制度及责任书/交通运输行业安全生产管理制度汇编.docx,docx,docx,620588,8f81f1e789e433b08924e5882fed31f7f990e9c0bb21d8fe53e637675727531f,,success,zh,628,30495,
doc_0ac53233042ed65e,cn,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/【重点】安全生产管理各类制度及责任书/化工公司安全生产规章制度汇编资料.doc,doc,doc,1228829,a8e44e4b8293f3a88c4f23d183ee1d674c4c4998cd3742e5b840b0bf0f939138,,success,zh,5107,216115,
